"Countries, territories and areas; Year,""Maternal mortality ratio (per 100 000 live births)"",""Number of maternal deaths"""
"Afghanistan; 2020,""620 [406-1 050]"",""8 698 [5 689-14 715]"""
"Afghanistan; 2019,""644 [425-1 047]"",""8 878 [5 858-14 432]"""
"Afghanistan; 2018,""663 [448-1 043]"",""8 996 [6 080-14 145]"""
"Afghanistan; 2017,""682 [468-1 040]"",""9 082 [6 227-13 847]"""
"Afghanistan; 2016,""750 [528-1 119]"",""9 868 [6 955-14 722]"""
"Afghanistan; 2015,""776 [557-1 115]"",""10 208 [7 334-14 676]"""
"Afghanistan; 2014,""785 [576-1 091]"",""10 013 [7 344-13 910]"""
"Afghanistan; 2013,""821 [614-1 106]"",""10 242 [7 662-13 807]"""
"Afghanistan; 2012,""833 [637-1 095]"",""10 143 [7 749-13 321]"""
"Afghanistan; 2011,""884 [684-1 149]"",""10 233 [7 916-13 300]"""
"Afghanistan; 2010,""899 [702-1 156]"",""10 317 [8 062-13 266]"""
"Afghanistan; 2009,""913 [715-1 162]"",""10 308 [8 069-13 122]"""
"Afghanistan; 2008,""962 [745-1 222]"",""10 509 [8 133-13 339]"""
"Afghanistan; 2007,""1 023 [781-1 302]"",""11 842 [9 035-15 068]"""
"Afghanistan; 2006,""1 044 [782-1 339]"",""11 875 [8 895-15 225]"""
"Afghanistan; 2005,""1 103 [812-1 422]"",""12 120 [8 927-15 632]"""
"Afghanistan; 2004,""1 115 [807-1 460]"",""12 230 [8 849-16 020]"""
"Afghanistan; 2003,""1 196 [842-1 570]"",""12 714 [8 948-16 690]"""
"Afghanistan; 2002,""1 277 [879-1 690]"",""12 518 [8 613-16 561]"""
"Afghanistan; 2001,""1 273 [863-1 708]"",""12 340 [8 361-16 547]"""
"Afghanistan; 2000,""1 346 [888-1 800]"",""13 408 [8 842-17 932]"""
"Afghanistan; 1999,""1 359 [890-1 840]"",""13 157 [8 612-17 812]"""
"Afghanistan; 1998,""1 459 [939-1 988]"",""13 717 [8 824-18 689]"""
"Afghanistan; 1997,""1 365 [874-1 876]"",""12 479 [7 985-17 146]"""
"Afghanistan; 1996,""1 376 [878-1 903]"",""12 201 [7 789-16 880]"""
"Afghanistan; 1995,""1 401 [892-1 954]"",""11 949 [7 606-16 671]"""
"Afghanistan; 1994,""1 375 [869-1 947]"",""10 849 [6 857-15 358]"""
"Afghanistan; 1993,""1 369 [866-1 956]"",""9 554 [6 046-13 651]"""
"Afghanistan; 1992,""1 452 [908-2 081]"",""8 405 [5 257-12 047]"""
"Afghanistan; 1991,""1 393 [864-2 013]"",""7 744 [4 803-11 194]"""
"Afghanistan; 1990,""1 378 [856-2 033]"",""7 812 [4 853-11 525]"""
"Afghanistan; 1989,""1 383 [843-2 063]"",""7 550 [4 600-11 263]"""
"Afghanistan; 1988,""1 414 [834-2 148]"",""7 522 [4 439-11 429]"""
"Afghanistan; 1987,""1 587 [901-2 440]"",""8 489 [4 821-13 056]"""
"Afghanistan; 1986,""1 603 [887-2 496]"",""8 672 [4 801-13 501]"""
"Afghanistan; 1985,""1 910 [1 034-3 042]"",""10 259 [5 552-16 333]"""
"Albania; 2020,""8 [4-16]"",""2 [1-5]"""
"Albania; 2019,""5 [3-10]"",""2 [1-3]"""
"Albania; 2018,""5 [3-10]"",""2 [1-3]"""
"Albania; 2017,""7 [4-12]"",""2 [1-4]"""
"Albania; 2016,""7 [4-11]"",""2 [1-4]"""
"Albania; 2015,""7 [4-11]"",""2 [1-4]"""
"Albania; 2014,""7 [4-12]"",""2 [1-4]"""
"Albania; 2013,""7 [4-12]"",""3 [2-4]"""
"Albania; 2012,""8 [5-12]"",""3 [2-4]"""
"Albania; 2011,""8 [5-12]"",""3 [2-4]"""
"Albania; 2010,""9 [6-12]"",""3 [2-4]"""
"Albania; 2009,""9 [6-13]"",""3 [2-4]"""
"Albania; 2008,""10 [7-13]"",""3 [2-5]"""
"Albania; 2007,""10 [7-13]"",""4 [3-5]"""
"Albania; 2006,""11 [8-14]"",""4 [3-5]"""
"Albania; 2005,""11 [8-14]"",""4 [3-6]"""
"Albania; 2004,""11 [8-14]"",""5 [4-6]"""
"Albania; 2003,""12 [9-16]"",""6 [4-7]"""
"Albania; 2002,""12 [10-16]"",""6 [5-8]"""
"Albania; 2001,""13 [10-16]"",""6 [5-8]"""
"Albania; 2000,""14 [12-18]"",""8 [6-10]"""
"Albania; 1999,""15 [12-19]"",""9 [7-11]"""
"Albania; 1998,""16 [13-19]"",""9 [8-12]"""
"Albania; 1997,""18 [13-25]"",""12 [9-16]"""
"Albania; 1996,""19 [15-23]"",""13 [10-16]"""
"Albania; 1995,""22 [18-26]"",""16 [13-19]"""
"Albania; 1994,""24 [20-29]"",""18 [15-22]"""
"Albania; 1993,""27 [22-32]"",""20 [16-24]"""
"Albania; 1992,""28 [23-34]"",""21 [18-26]"""
"Albania; 1991,""29 [24-35]"",""23 [19-28]"""
"Albania; 1990,""33 [27-40]"",""27 [22-33]"""
"Albania; 1989,""35 [28-43]"",""29 [23-36]"""
"Albania; 1988,""37 [29-47]"",""30 [24-39]"""
"Albania; 1987,""39 [30-51]"",""33 [25-43]"""
"Albania; 1986,""42 [31-57]"",""35 [26-48]"""
"Albania; 1985,""48 [34-67]"",""40 [29-57]"""
"Algeria; 2020,""78 [41-164]"",""758 [399-1 596]"""
"Algeria; 2019,""77 [43-152]"",""763 [430-1 511]"""
"Algeria; 2018,""79 [45-156]"",""803 [454-1 574]"""
"Algeria; 2017,""89 [51-171]"",""908 [515-1 745]"""
"Algeria; 2016,""89 [51-169]"",""904 [520-1 719]"""
"Algeria; 2015,""89 [52-167]"",""896 [519-1 681]"""
"Algeria; 2014,""86 [51-159]"",""849 [503-1 563]"""
"Algeria; 2013,""94 [56-171]"",""906 [541-1 641]"""
"Algeria; 2012,""99 [60-177]"",""938 [571-1 680]"""
"Algeria; 2011,""105 [65-187]"",""958 [592-1 698]"""
"Algeria; 2010,""112 [70-196]"",""981 [616-1 719]"""
"Algeria; 2009,""115 [73-196]"",""970 [616-1 659]"""
"Algeria; 2008,""117 [74-195]"",""944 [603-1 580]"""
"Algeria; 2007,""125 [81-205]"",""963 [622-1 581]"""
"Algeria; 2006,""134 [88-216]"",""983 [646-1 579]"""
"Algeria; 2005,""144 [96-226]"",""1 003 [670-1 579]"""
"Algeria; 2004,""137 [93-210]"",""914 [619-1 405]"""
"Algeria; 2003,""153 [105-230]"",""979 [672-1 474]"""
"Algeria; 2002,""150 [105-223]"",""925 [648-1 369]"""
"Algeria; 2001,""156 [110-225]"",""945 [667-1 363]"""
"Algeria; 2000,""159 [113-227]"",""958 [681-1 369]"""
"Algeria; 1999,""187 [133-261]"",""1 115 [792-1 561]"""
"Algeria; 1998,""187 [133-258]"",""1 118 [796-1 548]"""
"Algeria; 1997,""181 [130-249]"",""1 127 [807-1 553]"""
"Algeria; 1996,""192 [138-265]"",""1 268 [909-1 748]"""
"Algeria; 1995,""204 [147-283]"",""1 437 [1 038-1 992]"""
"Algeria; 1994,""203 [147-283]"",""1 540 [1 118-2 149]"""
"Algeria; 1993,""204 [147-284]"",""1 587 [1 146-2 213]"""
"Algeria; 1992,""204 [146-287]"",""1 609 [1 156-2 266]"""
"Algeria; 1991,""204 [143-288]"",""1 601 [1 121-2 258]"""
"Algeria; 1990,""206 [142-295]"",""1 616 [1 118-2 313]"""
"Algeria; 1989,""216 [147-311]"",""1 745 [1 181-2 507]"""
"Algeria; 1988,""223 [149-324]"",""1 823 [1 215-2 645]"""
"Algeria; 1987,""237 [155-347]"",""1 966 [1 285-2 882]"""
"Algeria; 1986,""240 [153-359]"",""2 024 [1 292-3 026]"""
"Algeria; 1985,""256 [160-389]"",""2 188 [1 367-3 328]"""
"Angola; 2020,""222 [148-330]"",""2 914 [1 948-4 337]"""
"Angola; 2019,""228 [155-337]"",""2 924 [1 987-4 323]"""
"Angola; 2018,""233 [161-341]"",""2 930 [2 029-4 281]"""
"Angola; 2017,""253 [177-365]"",""3 112 [2 173-4 488]"""
"Angola; 2016,""270 [190-384]"",""3 251 [2 292-4 625]"""
"Angola; 2015,""274 [196-386]"",""3 231 [2 321-4 561]"""
"Angola; 2014,""292 [212-408]"",""3 373 [2 454-4 721]"""
"Angola; 2013,""291 [214-405]"",""3 293 [2 419-4 573]"""
"Angola; 2012,""304 [225-418]"",""3 354 [2 478-4 613]"""
"Angola; 2011,""335 [247-458]"",""3 595 [2 650-4 915]"""
"Angola; 2010,""367 [269-505]"",""3 853 [2 825-5 295]"""
"Angola; 2009,""399 [291-551]"",""4 077 [2 969-5 629]"""
"Angola; 2008,""438 [318-611]"",""4 357 [3 158-6 072]"""
"Angola; 2007,""463 [335-650]"",""4 472 [3 234-6 278]"""
"Angola; 2006,""508 [364-716]"",""4 768 [3 416-6 720]"""
"Angola; 2005,""550 [391-782]"",""5 015 [3 570-7 136]"""
"Angola; 2004,""594 [420-851]"",""5 247 [3 709-7 512]"""
"Angola; 2003,""676 [476-971]"",""5 784 [4 073-8 306]"""
